nomer_material,tipe_material,nama_material,sat,berat,harga material,pasang_rab,bongkar,jenis_material,kategori_material
546,1,Kabel NYFGBY 4 x 150 mm2,M,18,1395616,0,0,MDU UP3,PLN
547,1,Panel MDP Ukuran (PxLxT) 80x30x107 Tebal 2 mm,Bh,35,7550010,221499,132899,NON MDU,TUNAI
548,1,Perlengkapan Panel MDP Lengkap (Pencabangan) (5 Plg + 1 Cad),Bh,35,7384747,184583,110750,NON MDU,TUNAI
549,1,Pondasi SDP Sesuai Spesifikasi,Lot,0,215635,270989,162594,NON MDU,TUNAI
550,1,DynaBolt 6x60 mm,-,0,0,0,0,NON MDU,TUNAI
551,1,Pengaman kabel TR uk.450x300x40 mm,B,"0,01",0,0,0,NON MDU,TUNAI
552,1,Kanal NP 10 2200,B,"8,93",408072,25211,15127,MDU UID,PLN
553,1,Patok Pelindung SDP,B,"2,79",126998,16888,10133,NON MDU,TUNAI
554,1,"Perencanaan, pendataan utilitas Jaringan, ijin penggalian & SPS (dibayar sesuai kwitansi resmi)",lokasi,0,0,0,0,NON MDU,TUNAI
555,1,Direksi KITT (2x4 mtr) = 8 m2,lokasi,0,0,0,0,NON MDU,TUNAI
556,1,"Trafic management :
 0 Lampu CR 0 Rambu peringatan (120x90) cm
 0 Lampu LS 0 Rambu ""Ada pengerjakaan Pengeboran""
 0 Trafic Cone",Lot,0,0,0,0,NON MDU,TUNAI
557,1,Pada tanah Keras/Koral Berm,Titik,0,0,0,0,NON MDU,TUNAI
558,1,Pada Tanah Biasa/Rumput/Taman,Titik,0,0,0,0,NON MDU,TUNAI
559,1,Pada Trotoar Inter Blok,Titik,0,0,0,0,NON MDU,TUNAI
560,1,Pada Trotoar Floor Beton,Titik,0,0,0,0,NON MDU,TUNAI
561,1,Pada Jala Lapis Penutup Hotmix Lebar Jalan > 7 m,Titik,0,0,0,0,NON MDU,TUNAI
562,1,Pada Jalan Lapis Paving Block,Titik,0,0,0,0,NON MDU,TUNAI
563,1,"Pada Jalan dengan Konstruksi Beton Segmen Uk. 3,5 x 5 m2",Titik,0,0,0,0,NON MDU,TUNAI
564,1,Pekerjaan Pengeboran HDD,,0,0,0,0,NON MDU,TUNAI
565,1,Pendataan & Penyuntikan Utilitas Terpasang,Titik,0,0,0,0,NON MDU,TUNAI
566,1,Pagar Pengaman (Spandek) Go Green Standar PEMDA,Bh,0,0,0,0,NON MDU,TUNAI
567,1,Mobilisasi Mesin Boring HDD & Perlengkapannya,Rit,0,0,0,0,NON MDU,TUNAI
568,1,Demobilisasi Mesin Boring HDD & perlengkapannya,Rit,0,0,0,0,NON MDU,TUNAI
569,1,"Pengeboran Pipa Diameter 8"" tanpa casing",Mtr,0,0,0,0,NON MDU,TUNAI
570,1,Pengadaan dan Pemasangan,,0,0,0,0,NON MDU,TUNAI
571,1,"Pipa HDPE PN 12,5/PE 100 SDR 13,6 diameter 7"" 180 mm, Ketebalan 13,3 mm warna merah",Mtr,0,0,0,0,NON MDU,TUNAI
572,1,Karet pelindung Kabel untuk menahan air & tanah (reducer),Bh,0,0,0,0,NON MDU,TUNAI
573,1,"Pengikat Reducer bagian depan (klem) untuk menahan air & tanah (Stainless Steel 8"")",Bh,0,0,0,0,NON MDU,TUNAI
574,1,"Pengikat Reducer bagian belakang (klem) untuk menahan air & tanah (Stainless Steel 8"")",Bh,0,0,0,0,NON MDU,TUNAI
575,1,Pengelasan Pipa HDPE,Batang,0,0,0,0,NON MDU,TUNAI
576,1,Tali Pancing,Mtr,0,0,0,0,NON MDU,TUNAI
577,1,Papan penahan Tanah,M3,0,0,0,0,NON MDU,TUNAI
578,1,Penandaan lokasi untuk Patok Boring/Kabel,Bh,0,0,0,0,NON MDU,TUNAI
579,1,Foto Dokumentasi 1set (12 lembar),Set,0,0,0,0,NON MDU,TUNAI
580,1,AS BULIT DRAWING 1:5000 (1 kalkir + 5 Blue Print),Set,0,0,0,0,NON MDU,TUNAI
581,1,AS BULIT DRAWING 1:200 (1 kalkir + 5 Blue Print+ 1 film),Mtr,0,0,0,0,NON MDU,TUNAI
582,1,Pengadaan/Pengangkutan Air untuk Boring,Ltr,0,0,0,0,NON MDU,TUNAI
583,1,Pembersihan Pekerjaan (umum),lokasi,0,0,0,0,NON MDU,TUNAI
584,1,Dop HDPE,Bh,0,0,0,0,NON MDU,TUNAI
585,1,Pengadaan Timah Lebel,Bh,0,0,0,0,NON MDU,TUNAI
586,1,Pengadaan Batu Pengaman,Bh,0,0,0,0,NON MDU,TUNAI
587,1,"Angkutan SKTM 20 kV 3x240 mm/300 mm, 1 Haspel",Rit,0,0,0,0,NON MDU,TUNAI
588,1,"Angkutan SKTM 20 kV 3x240 mm/300 mm, 3 Haspel",Rit,0,0,0,0,NON MDU,TUNAI
589,1,"Angkutan SKTM 20 kV 3x240 mm/300 mm, (50 0 200 meter)",Rit,0,0,0,0,NON MDU,TUNAI
590,1,Penarikan SKTM 20 kV 3x240 mm/300 mm dengan mesin Winch,Mtr,0,0,0,0,NON MDU,TUNAI
591,1,Pelindung (Dop Kabel) 3x240 mm/300 mm,Bh,0,0,0,0,NON MDU,TUNAI
